,mean,std
test_acc,0.8977064220183486,0.004886989851528109
test_prec,0.9362768097805093,0.019712640473762304
test_rec,0.77015873015873,0.028152126066533778
test_f1,0.8444629538039857,0.010881233772921085
test_auc,0.953337322960303,0.0024937976449663796
