,mean,std
test_acc,0.8950236966824644,0.008126269288854137
test_prec,0.8888038472897379,0.025779543698845078
test_rec,0.8124590163934429,0.025090001927487185
test_f1,0.8482939187329681,0.01177352898713672
test_auc,0.9463110191915813,0.002916188956811894
