run_id,test_acc,test_prec,test_rec,test_f1,test_auc
1,0.9478957915831663,0.8666666666666667,0.8024691358024691,0.8333333333333334,0.9743339831059129
2,0.9559118236472945,0.9041095890410958,0.8148148148148148,0.8571428571428571,0.9697855750487329
3,0.9498997995991983,0.8783783783783784,0.8024691358024691,0.8387096774193549,0.9711441904424359
4,0.9519038076152304,0.9014084507042254,0.7901234567901234,0.8421052631578947,0.9723846653671215
5,0.9559118236472945,0.9154929577464789,0.8024691358024691,0.8552631578947368,0.9705239529800934
