run_id,best_epoch,best_val_f1,test_loss,test_acc,test_prec,test_rec,test_f1,test_auc,device_used
1,27,0.8586956521739131,0.12643326818943024,0.9599198396793587,0.8351648351648352,0.9382716049382716,0.8837209302325582,0.9894559631401736,cpu
2,18,0.8771929824561403,0.15687797963619232,0.9539078156312625,0.8085106382978723,0.9382716049382716,0.8685714285714285,0.9846122039104495,cpu
3,37,0.8603351955307262,0.13109442591667175,0.935871743486974,0.7333333333333333,0.9506172839506173,0.8279569892473119,0.9897808494299722,cpu
4,47,0.8603351955307262,0.1420469731092453,0.9318637274549099,0.719626168224299,0.9506172839506173,0.8191489361702128,0.988126882863725,cpu
5,11,0.8554216867469879,0.1633090078830719,0.9218436873747495,0.6944444444444444,0.9259259259259259,0.7936507936507936,0.9830468426959655,cpu
