run_id,test_acc,test_prec,test_rec,test_f1,test_auc
1,0.7695390781563126,0.3111111111111111,0.345679012345679,0.32748538011695905,0.6976637722251757
2,0.7615230460921844,0.31,0.38271604938271603,0.3425414364640884,0.7002776301021915
3,0.7575150300601202,0.3,0.37037037037037035,0.3314917127071823,0.6987122688877074
4,0.7715430861723447,0.3263157894736842,0.38271604938271603,0.3522727272727273,0.7071297773052159
5,0.781563126252505,0.34444444444444444,0.38271604938271603,0.36257309941520466,0.7132730816941343
