Model,Feature_set,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,auc_mean,auc_std
LR (baseline),screens,0.56312625250501,0.0,0.18433179723502305,0.0,0.49382716049382713,0.0,0.2684563758389262,0.0,0.5361214484021501,0.0
RF (baseline),screens,0.7683366733466934,0.009356807639221454,0.31837426900584803,0.017343712118702493,0.37283950617283945,0.01609679606222876,0.34327287119523237,0.014509236587357676,0.7034113060428849,0.006633563665125372
LR (baseline),full,0.8957915831663327,0.0,0.6593406593406593,0.0,0.7407407407407407,0.0,0.6976744186046512,0.0,0.9086774174493473,0.0
RF (baseline),full,0.9523046092184367,0.0035848785210417507,0.893211208507369,0.020044147389042886,0.8024691358024691,0.008729713347982067,0.8453108577896353,0.010444579903016393,0.9716344733888592,0.00178481082573737
