Comparison,Metric,t_statistic,p_value
M4 vs M2,test_f1,12.592049768321461,0.0002289405383484136
M4 vs M3,test_f1,5.021515729905565,0.007377465980346877
M4 vs M2,test_auc,8.460918856916779,0.0010692558013530183
M4 vs M3,test_auc,3.312412478840736,0.02958759905638751
