,mean,std
test_acc,0.8825986078886311,0.006112269082282809
test_prec,0.8957757051825883,0.026919920099136373
test_rec,0.7631067961165049,0.03634982804426921
test_f1,0.822960028418386,0.013587371730623795
test_auc,0.935579393364818,0.0033890606146963877
