,mean,std
test_acc,0.631578947368421,0.0880694764772711
test_prec,0.5738243239453735,0.0887086653234605
test_rec,0.7375,0.12747548783981963
test_f1,0.6298817966903073,0.03573467282061483
test_auc,0.7454545454545455,0.03041763366891858
