run_id,best_epoch,best_val_f1,val_val_loss,val_val_acc,val_val_prec,val_val_rec,val_val_f1,val_val_auc,test_loss,test_acc,test_prec,test_rec,test_f1,test_auc
1,23,0.8,0.7613175793697959,0.8157894736842105,0.7368421052631579,0.875,0.8,0.8068181818181819,1.2215755864193565,0.5,0.4482758620689655,0.8125,0.5777777777777777,0.7102272727272727
2,16,0.6896551724137931,0.7992431991978696,0.7631578947368421,0.7692307692307693,0.625,0.6896551724137931,0.7926136363636365,0.93544581375624,0.7105263157894737,0.6470588235294118,0.6875,0.6666666666666666,0.7301136363636364
3,16,0.6875,0.7975113768326608,0.7368421052631579,0.6875,0.6875,0.6875,0.8125,0.9536403668554205,0.7105263157894737,0.6470588235294118,0.6875,0.6666666666666666,0.7727272727272727
4,10,0.7096774193548387,0.7693469963575664,0.7631578947368421,0.7333333333333333,0.6875,0.7096774193548387,0.7784090909090909,0.9350666874333432,0.6842105263157895,0.6428571428571429,0.5625,0.6,0.7244318181818182
5,27,0.7647058823529411,0.7809928592882658,0.7894736842105263,0.7222222222222222,0.8125,0.7647058823529411,0.7897727272727273,1.1355075208764327,0.5526315789473685,0.4838709677419355,0.9375,0.6382978723404256,0.7897727272727273
